00102;MINISTERIO DE INDUSTRIAS;;CARRETERA TOLEDO NO. 18449 ENTRE AVE. 184 Y AUTOPISTA NO. 3, RPTO. CAPDEVILA;15/01/2013;2313;7513;0;102;999;2;UP;05;0;00102
00104;MINISTERIO DE ENERGIA Y MINAS;;AVE. SALVADOR ALLENDE NO. 666 E/ OQUENDO Y SOLEDAD;26/12/2012;2303;7513;0;104;999;2;UP;05;0;00104
00111;MINISTERIO DE LA INDUSTRIA ALIMENTARIA;;AVE. 41 NO. 4455 E/ 48 Y 50;04/05/2009;2301;7513;0;111;999;2;UP;05;0;00111
00113;INSTITUTO NACIONAL DE RECURSOS HIDRAULICOS;;CALLE HUMBOLDT NO. 106, E/ P E INFANTA, VEDADO;31/07/1989;2302;7513;0;113;013;2;UP;05;0;00113
00126;MINISTERIO DE LA CONSTRUCCION;;AVENIDA CARLOS MANUEL DE CESPEDES Y 35, VEDADO;31/01/1977;2302;7513;0;126;999;2;UP;05;0;
00131;MINISTERIO DE LA AGRICULTURA;;CONILL Y AVE. INDEPENDENCIA;31/01/1977;2302;7513;0;131;999;2;UP;05;0;
00151;MINISTERIO DEL TRANSPORTE;;AVE CARLOS M. DE CESPEDES ESQ TULIPAN;31/01/1977;2302;7513;0;151;999;2;UP;05;0;00151
00153;INSTITUTO NACIONAL DE RESERVAS ESTATALES;;CALLE 44, NO. 314, E/ 3RA Y 5TA AVE.;30/09/2005;2301;7513;0;271;999;2;UP;05;0;00271
00161;MINISTERIO DE COMUNICACIONES;;AVE. INDEPENDENCIA E/ ARANGUREN Y 19 DE MAYO;31/01/1977;2302;7513;0;161;999;2;UP;05;0;00161
00171;MINISTERIO DEL COMERCIO INTERIOR;;HABANA NO. 258 E/ EMPEDRADO Y SAN DE DIOS;31/01/1977;2304;7513;0;171;999;2;UP;05;0;
00174;MINISTERIO DEL COMERCIO EXTERIOR Y LA INVERSION EXTRANJERA;;INFANTA NO. 16 E/ 23 Y HUMBOLDT;07/05/2009;2302;7513;0;174;999;2;UP;05;0;
00211;MINISTERIO DE CIENCIA, TECNOLOGIA Y MEDIO AMBIENTE;;CALLE M, NO. 260 ENTRE 21 Y 19, VEDADO;31/01/1977;2302;7513;0;211;999;2;UP;05;0;
00221;MINISTERIO DE EDUCACION;;CALLE 17 Y O, VEDADO;31/01/1977;2302;7512;0;221;999;2;UP;05;0;00221
00223;MINISTERIO DE EDUCACION SUPERIOR;;23 NO.565 ESQUINA A F. VEDADO;31/01/1977;2302;7512;0;223;999;2;UP;05;0;00223
00233;INSTITUTO CUBANO DE RADIO Y TELEVISION;;CALLE 23 NO. 258 E/ L Y M. VEDADO;30/04/1983;2302;7512;0;233;999;2;UP;05;0;
00234;MINISTERIO DE CULTURA;;;31/01/1977;2302;7512;0;234;999;2;UP;05;0;00234
00241;MINISTERIO DE SALUD PUBLICA;;CALLE 23 NO. 201 ESQ. N, VEDADO;31/01/1977;2302;7512;0;241;999;2;UP;05;0;00241
00242;INSTITUTO NACIONAL DE DEPORTES, EDUCACION FISICA Y RECREACION;;VIA BLANCA Y RANCHO BOYEROS;31/01/1977;2310;7512;0;242;999;2;UP;05;0;00242
00249;CONTRALORIA GENERAL DE LA REPUBLICA;;Calle 23 No. 801 esquina a B.;22/01/2010;2302;7511;0;249;999;2;UP;05;0;00249
00251;BANCO NACIONAL DE CUBA;BNC;AGUIAR NO. 456 ENTRE LAMPARILLA Y AMARGURA;31/05/1983;2304;6519;0;251;999;1;BANC;04;0;
00253;BANCO POPULAR DE AHORRO;BPA;CALLE 16 NO. 306 ENTRE 3RA AVE. Y 5TA AVE.;31/05/1983;2301;6519;0;253;999;1;BANC;04;0;
00254;MINISTERIO DE FINANZAS Y PRECIOS;;CALLE OBISPO NO. 211, ESQ. A CUBA;30/06/1994;2304;7511;0;254;999;2;UP;05;0;
00256;MINISTERIO DE TURISMO;;AVENIDA MALECON Y G, VEDADO;30/06/1994;2302;7513;0;256;999;2;UP;05;0;00256
00257;BANCO CENTRAL DE CUBA;BANCO CENTRAL;CALLE CUBA # 402 ENTRE LAMPARILLA Y AMARGURA;31/10/1997;2304;6511;0;257;999;1;BANC;04;0;
00258;BANCO DE CREDITO Y COMERCIO;BANDEC;AMARGURA NO. 158 E/ AGUIAR Y CUBA;31/12/1997;2304;6519;0;258;999;1;BANC;04;0;
00259;BANCO EXTERIOR DE CUBA;;23 ESQUINA P;29/02/2000;2302;6519;1;259;999;1;BANC;04;0;00259
00261;MINISTERIO DE ECONOMIA Y PLANIFICACION;;20 DE MAYO E/ TERRITORIAL Y AYESTARAN;31/01/1977;2302;7511;0;261;999;2;UP;05;0;
00262;MINISTERIO DE TRABAJO Y SEGURIDAD SOCIAL;;CALLE 23 NUMERO 105 E/ O Y P;31/01/1977;2302;7513;0;262;999;2;UP;05;0;
00263;MINISTERIO DE JUSTICIA;;CALLE O N0. 216 E/ 23 Y 25, VEDADO;31/01/1977;2302;7511;0;263;999;2;UP;05;0;
00264;MINISTERIO DE RELACIONES EXTERIORES;;CALZADA NO. 360, ENTRE G Y H, VEDADO;31/01/1977;2302;7521;0;264;999;2;UP;05;0;
00267;TRIBUNAL SUPREMO POPULAR;;CALLE AGUIAR, NO. 367, ENTRE OBRAPÍA Y OBISPO;31/01/1977;2304;7523;0;267;999;2;UP;05;0;
