America del Norte,103,CAN,Canadá,
America del Norte,104,USA,Estados Unidos de América,
America del Norte,201,MEX,México,
America Central,206,BLZ,Belice,
America Central,202,CRI,Costa Rica,
America Central,247,CUB,Cuba,
America Central,203,SLV,El Salvador,
America Central,204,GTM,Guatemala,
America Central,205,HND,Honduras,
America Central,208,NIC,Nicaragua,
America Central,209,PAN,Panamá,
America del Sur,310,ARG,Argentina,
America del Sur,306,BOL,Bolivia,
America del Sur,311,BRA,Brasil,
America del Sur,307,CHL,Chile,
America del Sur,301,COL,Colombia,
America del Sur,308,ECU,Ecuador,
America del Sur,303,GUF,Guayana Francesa,
America del Sur,313,PRY,Paraguay,
America del Sur,309,PER,Perú,
America del Sur,304,SUR,Surinam,
America del Sur,314,URY,Uruguay,
America del Sur,305,VEN,Venezuela,
Europa Oriental,437,ALB,Albania,
Europa Oriental,453,BLR,Bielorrusia,
Europa Oriental,442,BIH,Yugoslavia,
Europa Oriental,438,BGR,Bulgaria,
Europa Oriental,460,HRV,Croacia,
Europa Oriental,464,SVK,Eslovaquia,
Europa Oriental,461,SVN,Eslovenia,
Europa Oriental,450,EST,Estonia,
Europa Oriental,410,HUN,Hungría,
Europa Oriental,451,LVA,Letonia,
Europa Oriental,452,LTU,Lituania,
Europa Oriental,454,MDA,Moldavia,
Europa Oriental,425,POL,Polonia,
Europa Oriental,463,CZE,República Checa,
Europa Oriental,440,ROU,Rumania,
Europa Oriental,455,UKR,Ucrania,
Europa Occidental,401,DEU,Alemania,
Europa Occidental,403,AND,Andorra,
Europa Occidental,404,AUT,Austria,
Europa Occidental,405,BEL,Bélgica,
Europa Occidental,407,DNK,Dinamarca,
Europa Occidental,428,ESP,España,
Europa Occidental,422,FIN,Finlandia,
Europa Occidental,417,GBR,Reino Unido,
Europa Occidental,409,NLD,Holanda,
Europa Occidental,408,FRA,Francia,
Europa Occidental,439,GRC,Grecia,
Europa Occidental,411,IRL,Irlanda,
Europa Occidental,412,ISL,Islandia,
Europa Occidental,431,ITA,Italia,
Europa Occidental,413,LIE,Liechtenstein,
Europa Occidental,414,LUX,Luxemburgo,
Europa Occidental,432,MLT,Malta,
Europa Occidental,415,MCO,Mónaco,
Europa Occidental,416,NOR,Noruega,
Europa Occidental,433,PRT,Portugal,
Europa Occidental,418,SWE,Suecia,
Europa Occidental,419,CHE,Suiza,
Europa Occidental,450,EST,Estonia,
Europa Occidental,451,LVA,Letonia,
Europa Occidental,452,LTU,Lituania,
Asia,516,AFG,Afganistán,
Asia,509,SAU,Arabia Saudita,
Asia,458,ARM,Armenia,
Asia,567,AZE,Azerbaiyán,
Asia,560,BGD,Bangladés,
Asia,552,BRN,Brunéi Darussalam​,
Asia,519,KHM,Camboya,
Asia,535,CHN,China,
Asia,427,CYP,Chipre,
Asia,557,ARE,Emiratos Árabes Unidos,
Asia,457,RUS,Rusia,
Asia,523,GEO,Georgia,
Asia,537,HMD,Hong Kong,
Asia,525,IND,India,
Asia,526,IDN,Indonesia,
Asia,501,IRN,Irán,
Asia,502,IRQ,Irak,
Asia,503,ISR,Israel,
Asia,539,JPN,Japón,
Asia,504,JOR,Jordania,
Asia,511,KWT,Kuwait,
Asia,505,LBN,Líbano,
Asia,529,MYS,Malasia,
Asia,551,MDV,Maldivas,
Asia,540,MNG,Mongolia,
Asia,530,NPL,Nepal,
Asia,514,OMN,Omán,
Asia,532,PAK,Pakistán,
Asia,507,SYR,Siria,
Asia,541,KOR,Corea del Sur,
Asia,536,PRK,Corea del Norte,
Asia,548,SGP,Singapur,
Asia,520,LKA,Sri Lanka,
Asia,533,THA,Tailandia,
Asia,570,TJK,Tayikistán,
Asia,534,TLS,Timor Oriental,
Asia,561,TUR,Turquía,
Asia,568,TKM,Turkmenistán,
Asia,569,UZB,Uzbekistán,
Asia,508,YEM,Yemen,
Oceania,601,AUS,Australia,
Oceania,607,NZL,Nueva Zelanda,
Oceania,623,PNG,Papua Nueva Guinea,
Oceania,614,TON,Tonga,
Africa,712,AGO,Angola,
Africa,701,DZA,Argelia,
Africa,742,BEN,Benin,
Africa,740,BFA,Burkina Faso,
Africa,713,CMR,Camerún,
Africa,739,CIV,Costa de Marfil,
Africa,702,EGY,Egipto,
Africa,721,ETH,Etiopía,
Africa,745,GMB,Gambia,
Africa,715,GHA,Ghana,
Africa,718,LBR,Liberia,
Africa,703,LBY,Libia,
Africa,722,MDG,Madagascar,
Africa,732,MLI,Malí,
Africa,704,MAR,Marruecos,
Africa,723,MUS,Mauricio,
Africa,741,MRT,Mauritania,
Africa,724,MOZ,Mozambique,
Africa,738,NER,Níger,
Africa,719,NGA,Nigeria,
Africa,737,SEN,Senegal,
Africa,726,SOM,Somalia,
Africa,731,ZAF,Sudáfrica,
Africa,750,ZMB,Zambia
